Date,Open,High,Low,Close,Adj Close,Volume
2007-09-13,79.440002,79.849998,79.089996,79.300003,79.300003,0
2007-09-20,79.209999,79.309998,78.209999,78.489998,78.489998,0
2007-09-27,78.470001,78.580002,77.660004,78.570000,78.570000,0
2007-10-04,78.669998,78.889999,78.199997,78.379997,78.379997,0
2007-10-11,78.250000,78.370003,77.940002,78.120003,78.120003,0
2007-10-18,77.900002,78.199997,77.089996,77.550003,77.550003,0
2007-10-25,77.519997,77.580002,76.459999,76.480003,76.480003,0
2007-11-01,76.610001,76.870003,75.080002,75.410004,75.410004,0
2007-11-08,75.570000,76.150002,74.980003,75.809998,75.809998,0
2007-11-15,75.639999,76.150002,74.940002,75.070000,75.070000,0
2007-11-22,74.709999,75.730003,74.480003,75.080002,75.080002,0
2007-11-29,75.309998,76.529999,75.139999,76.410004,76.410004,0
2007-12-06,76.500000,76.820000,75.919998,76.139999,76.139999,0
2007-12-13,76.160004,77.800003,76.019997,77.589996,77.589996,0
2007-12-20,77.639999,77.849998,77.129997,77.150002,77.150002,0
2007-12-27,77.089996,77.269997,75.900002,75.970001,75.970001,0
2008-01-03,75.989998,76.500000,75.430000,76.419998,76.419998,0
2008-01-10,76.400002,76.519997,75.199997,76.260002,76.260002,0
2008-01-17,76.190002,77.349998,75.959999,76.400002,76.400002,0
2008-01-24,76.309998,76.440002,74.989998,75.029999,75.029999,0
2008-01-31,75.099998,76.320000,74.849998,76.139999,76.139999,0
2008-02-07,76.150002,77.040001,76.089996,76.400002,76.400002,0
2008-02-14,76.419998,76.529999,75.809998,76.120003,76.120003,0
2008-02-21,76.070000,76.160004,74.070000,74.209999,74.209999,0
2008-02-28,74.260002,74.370003,73.370003,73.480003,73.480003,0
2008-03-06,73.430000,73.470001,72.199997,72.400002,72.400002,0
2008-03-13,72.290001,72.360001,70.699997,72.139999,72.139999,0
2008-03-20,72.019997,73.190002,71.330002,71.510002,71.510002,0
2008-03-27,71.379997,72.790001,71.330002,72.260002,72.260002,0
2008-04-03,72.269997,72.839996,71.690002,71.830002,71.830002,0
2008-04-10,71.879997,72.379997,71.279999,71.410004,71.410004,0
